Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company,EMP_Sat_OnPrem_mean,EMP_Sat_Remote_mean,EMP_Engagement_mean,Emp_Work_Status_mean,Emp_Competitive_mean,Emp_Collaborative_mean
Finance,Level 1,1,3,6,0.5,0.66,3,160,3,0,0,medium,65,2,2,1,1,1228,75,8,0,1.8,4.2,4.2,2.5,2.0,3.2
Operations,Level 2-4,0,3,6,0.4,0.55,5,261,3,1,0,medium,5,2,1,2,2,3104,77,7,0,3.8,2.4,4.2,3.8,2.4,3.4
Sales,Manager,1,3,6,0.4,0.58,2,183,2,0,0,medium,52,2,1,2,1,3199,87,6,0,3.8,2.4,4.2,3.0,2.4,3.0
Warehouse,Level 2-4,0,3,6,0.8,0.89,3,171,2,0,0,medium,1,3,4,3,3,4783,79,6,0,3.5,4.2,4.2,3.2,2.6,3.6
Sales,Level 2-4,1,3,6,0.4,0.59,3,234,3,1,0,medium,8,2,2,1,2,2334,78,6,0,3.8,2.4,4.2,2.8,2.8,2.2
Operations,Level 2-4,1,3,6,0.4,0.47,2,253,3,0,0,low,40,2,2,2,2,1705,87,7,1,3.8,2.4,1.8,2.5,2.0,2.2
Sales,Manager,1,3,6,0.8,0.92,3,257,2,0,0,low,9,4,3,3,2,5085,79,7,0,3.5,4.2,4.2,2.5,2.6,2.2
IT,Manager,1,3,6,0.8,0.99,3,199,3,0,0,medium,10,2,4,4,3,4925,79,9,0,3.5,4.6,4.2,4.2,3.8,2.2
IT,Manager,1,3,6,0.4,0.58,2,218,2,1,0,low,15,2,2,1,2,2745,78,7,0,3.8,2.4,4.2,2.2,2.8,2.4
IT,Level 2-4,1,3,6,0.4,0.59,5,170,3,0,0,low,12,2,2,1,1,1018,88,8,0,3.8,2.4,4.2,3.5,2.4,2.6
Finance,Level 2-4,1,3,6,0.8,0.94,3,193,10,0,1,high,1,4,2,5,3,4459,72,1,0,3.5,4.2,4.2,3.5,2.6,3.2
Finance,Level 1,0,3,6,0.4,0.5,2,156,3,0,0,medium,11,2,1,2,2,6547,69,6,1,3.8,2.4,1.8,2.5,1.2,3.6
Finance,Manager,1,3,6,0.4,0.63,3,156,3,0,0,medium,1,1,1,2,1,1517,65,6,0,1.8,4.2,4.2,2.5,2.6,1.8
Sales,Level 1,1,3,6,0.4,0.5,2,132,3,0,0,low,25,2,1,1,1,1062,65,9,1,3.8,2.4,1.8,3.8,1.6,3.4
Operations,Level 2-4,0,3,6,0.4,0.59,5,236,3,0,0,low,51,1,1,1,2,3402,80,8,0,3.8,2.4,4.2,1.5,2.8,2.6
IT,Level 1,1,3,6,0.8,0.95,3,157,4,0,0,medium,2,2,2,4,4,4640,72,5,0,3.5,4.2,4.2,4.0,3.0,2.4
Human Resources,Level 2-4,0,3,6,0.8,0.75,4,177,2,0,0,low,6,4,3,2,3,5116,72,3,0,3.5,4.2,4.2,4.2,3.0,2.8
Operations,Level 2-4,1,3,6,0.4,0.61,5,230,6,0,0,low,60,1,2,1,2,2067,80,9,0,3.8,4.2,4.2,3.0,3.2,3.4
Human Resources,Level 2-4,1,3,6,0.8,0.85,4,189,2,0,0,low,7,3,2,2,2,4765,79,4,0,3.5,4.2,4.2,3.0,2.4,2.2
Operations,Level 2-4,0,3,6,0.8,0.77,3,225,4,1,0,low,8,4,4,2,3,5209,79,1,0,3.5,4.2,4.2,3.2,3.8,3.2
IT,Level 1,1,3,6,0.8,0.94,4,168,6,0,0,medium,9,4,4,2,3,4030,71,4,0,3.5,4.2,4.2,1.8,3.0,2.0
Operations,Level 2-4,1,3,6,0.4,0.55,3,172,2,0,0,high,26,2,1,1,2,1844,72,8,0,3.8,2.4,4.2,3.2,2.6,3.4
Sales,Level 2-4,0,3,6,0.8,0.74,3,104,5,0,0,low,5,3,3,2,3,4643,73,2,0,3.5,4.2,4.2,3.5,3.0,3.0
Warehouse,Manager,1,3,6,0.8,0.98,3,252,2,0,0,high,1,4,4,2,3,5707,77,9,0,3.5,4.6,4.2,3.0,3.6,4.0
Operations,Level 1,0,3,6,0.8,0.89,4,224,2,0,0,low,8,4,2,3,3,5754,75,7,0,3.5,4.2,4.2,3.5,3.4,2.8
Finance,Director,1,3,6,0.8,0.73,3,231,2,1,0,high,6,4,2,2,3,4452,75,4,0,3.5,4.2,4.2,2.8,2.4,3.4
Sales,Level 1,1,3,6,0.8,0.96,7,277,5,0,0,low,1,2,1,1,2,1700,88,6,1,3.5,4.2,1.8,3.0,2.4,2.4
Warehouse,Level 2-4,1,3,6,0.4,0.49,4,222,3,0,0,high,4,2,2,2,1,2734,80,7,0,3.8,2.4,4.2,4.2,2.6,2.0
Warehouse,VP,0,3,6,0.8,0.82,4,270,5,0,0,low,3,1,2,2,2,1786,86,9,1,3.5,4.2,1.8,3.5,2.6,3.2
IT,Senior Manager,1,3,6,0.8,0.91,6,113,2,0,0,medium,4,4,3,3,2,5130,70,8,0,3.5,4.2,4.2,3.0,3.8,2.0
Sales,Level 2-4,0,3,6,0.8,0.92,4,261,5,0,0,medium,2,1,2,2,2,1690,88,8,1,3.5,4.2,1.8,2.5,2.2,3.0
Finance,Level 1,0,3,6,0.4,0.43,4,275,3,0,0,low,33,1,2,1,2,3546,79,7,0,3.8,2.4,4.2,2.8,2.4,2.6
Warehouse,Level 2-4,0,3,6,0.4,0.48,3,202,6,0,0,low,45,1,1,2,2,3226,76,9,0,3.8,2.4,4.2,3.2,2.0,2.2
IT,Level 2-4,0,3,6,0.8,0.71,3,254,2,0,0,low,1,2,2,2,2,4334,76,3,0,3.5,4.2,4.2,2.2,2.4,2.6
Operations,Manager,0,3,6,0.4,0.63,3,241,3,0,0,medium,60,2,1,1,1,3922,78,6,0,1.8,4.2,4.2,3.0,3.2,2.0
Human Resources,Manager,1,3,6,0.4,0.53,2,157,3,0,0,low,23,1,1,1,2,1062,73,7,1,3.8,2.4,1.8,2.2,2.0,2.4
Human Resources,Manager,1,3,6,0.4,0.53,4,181,3,1,0,low,41,1,1,1,2,2506,87,8,0,3.8,2.4,4.2,3.5,3.2,3.6
Sales,Level 2-4,0,3,6,0.4,0.59,7,192,3,0,0,low,33,2,2,2,1,1694,85,9,1,3.8,2.4,1.8,1.8,3.0,3.0
Operations,Level 1,0,3,6,0.8,0.98,3,283,2,1,0,low,2,3,3,2,3,4207,80,4,0,3.5,4.6,4.2,4.2,4.0,2.6
IT,Level 2-4,1,3,6,0.8,0.95,7,256,4,0,0,medium,2,1,2,2,1,1396,85,2,1,3.5,4.2,1.8,3.5,2.6,2.2
IT,Level 1,1,3,6,0.4,0.53,3,218,4,0,0,low,29,1,2,1,2,3792,79,6,0,3.8,2.4,4.2,3.0,2.4,3.4
IT,Level 2-4,1,3,6,0.4,0.37,4,165,6,0,0,medium,44,2,2,2,2,1563,87,6,0,3.8,2.4,4.2,3.0,1.6,2.8
Sales,Level 2-4,0,3,6,0.8,0.9,3,161,3,0,0,medium,1,4,4,3,2,5757,80,1,0,3.5,4.2,4.2,2.2,3.4,3.6
Sales,Level 1,0,3,6,0.8,0.91,4,284,4,0,0,low,4,4,4,2,2,4795,80,6,0,3.5,4.2,4.2,3.0,3.2,3.2
Operations,Manager,1,3,6,0.8,0.94,4,252,4,0,0,low,7,3,3,2,3,5459,79,8,0,3.5,4.2,4.2,2.5,2.8,3.0
Operations,Manager,1,3,6,0.8,0.94,5,219,5,0,0,low,6,1,1,1,2,1234,88,1,1,3.5,4.2,1.8,3.5,2.2,3.0
Warehouse,Level 2-4,0,3,6,0.5,0.69,3,175,2,0,0,medium,12,1,1,2,2,1817,68,10,0,1.8,4.2,4.2,3.0,2.8,2.6
Warehouse,Senior Director,1,3,6,0.8,0.84,4,218,6,0,0,medium,8,4,3,2,3,5101,75,9,0,3.5,4.2,4.2,3.8,3.2,3.8
Finance,Manager,0,3,6,0.8,0.91,3,157,2,0,0,medium,7,3,3,4,3,5560,74,3,0,3.5,4.2,4.2,2.8,4.0,2.6
Sales,Level 2-4,1,3,6,0.4,0.63,3,162,2,0,0,medium,65,1,2,2,2,1184,75,9,0,1.8,4.2,4.2,3.8,1.8,1.4
Operations,Level 1,0,3,6,0.8,0.94,4,195,3,1,0,medium,2,2,3,4,3,4682,77,3,0,3.5,4.2,4.2,3.8,2.8,2.6
IT,Manager,0,3,6,0.4,0.52,3,164,3,0,0,low,39,2,1,1,1,1575,72,6,0,3.8,2.4,4.2,3.5,2.6,2.6
Sales,Level 2-4,0,3,6,0.8,0.93,5,160,4,1,0,medium,5,3,2,4,2,5841,79,1,0,3.5,4.2,4.2,1.8,2.8,1.6
Warehouse,Level 1,0,3,6,0.4,0.43,3,176,3,0,0,low,13,2,1,1,1,1873,73,8,0,3.8,2.4,4.2,2.8,2.6,2.6
Human Resources,Senior Manager,0,3,6,0.4,0.49,5,188,2,0,0,low,42,2,2,1,2,2081,89,8,0,3.8,2.4,4.2,2.5,1.6,3.2
Human Resources,Manager,0,3,6,0.8,0.92,4,245,5,0,0,low,4,1,2,2,2,1470,85,1,1,3.5,4.2,1.8,2.2,3.0,1.4
Sales,Manager,1,3,6,0.4,0.55,2,159,3,0,0,high,20,2,1,2,1,1569,70,6,1,3.8,2.4,1.8,3.2,3.0,2.2
Finance,Senior Manager,0,3,6,0.8,0.89,3,242,10,0,0,high,9,3,3,2,3,5151,75,7,0,3.5,4.2,4.2,1.8,2.8,3.4
Warehouse,Senior Director,1,3,6,0.4,0.41,2,164,4,0,0,medium,65,2,2,1,2,1060,65,10,0,3.8,2.4,4.2,3.5,1.6,2.4
Human Resources,Level 2-4,1,3,6,0.8,0.84,3,216,8,0,0,medium,8,3,4,4,2,4616,77,2,0,3.5,4.2,4.2,2.5,3.6,2.8
Human Resources,Level 2-4,1,3,6,0.8,0.95,5,234,6,1,0,medium,8,4,3,2,2,5003,79,3,0,3.5,4.2,4.2,2.8,3.6,3.2
Warehouse,Level 1,1,3,6,0.4,0.52,2,136,3,0,0,medium,45,2,2,1,2,8206,69,9,1,3.8,2.4,1.8,4.0,2.4,2.8
Human Resources,Senior Manager,1,3,6,0.8,0.87,3,168,3,0,0,medium,5,2,4,3,4,5183,75,4,0,3.5,4.2,4.2,3.5,2.6,2.6
Sales,Level 2-4,1,3,6,0.8,0.97,4,218,5,1,0,medium,9,1,2,1,1,1024,85,5,1,3.5,4.6,1.8,3.2,1.4,3.6
Sales,Senior Manager,0,3,6,0.8,0.88,3,159,2,0,0,high,9,2,3,2,3,4099,71,8,0,3.5,4.2,4.2,3.0,3.8,3.4
Human Resources,Director,1,3,6,0.4,0.48,3,266,2,0,0,medium,48,2,2,2,2,3631,78,8,0,3.8,2.4,4.2,3.8,2.6,3.4
Finance,Level 2-4,0,3,6,0.8,0.87,4,239,5,0,0,low,6,1,1,2,2,1986,87,8,1,3.5,4.2,1.8,3.2,2.4,3.6
Operations,Level 2-4,1,3,6,0.8,0.77,3,213,3,1,0,medium,7,4,2,3,2,4133,75,3,0,3.5,4.2,4.2,3.8,2.4,2.0
Human Resources,Level 1,1,3,6,0.4,0.43,6,175,3,0,0,low,41,2,1,2,2,1382,89,7,0,3.8,2.4,4.2,3.8,3.0,2.0
Operations,Level 2-4,1,3,6,0.4,0.48,5,192,2,1,0,medium,63,1,2,1,1,2795,87,6,0,3.8,2.4,4.2,3.0,2.6,3.2
Operations,Manager,1,3,6,0.8,0.97,5,243,6,0,0,medium,10,2,1,1,1,1189,86,6,1,3.5,4.6,1.8,2.8,2.6,2.2
Sales,Level 2-4,1,3,6,0.8,0.91,4,231,3,0,0,low,4,3,3,2,3,5174,78,8,0,3.5,4.2,4.2,3.8,4.2,2.6
Finance,Level 2-4,1,3,6,0.4,0.49,3,241,3,0,0,medium,60,2,1,1,2,2920,77,9,0,3.8,2.4,4.2,2.8,2.0,2.0
Finance,Director,0,3,6,0.4,0.59,5,206,2,0,0,low,2,2,2,2,1,3490,76,6,0,3.8,2.4,4.2,1.5,2.4,2.6
Finance,Level 2-4,0,3,6,0.4,0.47,2,141,3,0,0,medium,14,1,1,1,1,6462,67,8,1,3.8,2.4,1.8,3.5,2.2,2.4
Warehouse,Level 2-4,1,3,6,0.8,0.92,6,260,4,0,0,low,6,1,1,1,2,1766,86,5,1,3.5,4.2,1.8,2.2,3.2,3.0
Operations,Manager,1,3,6,0.4,0.54,2,124,3,0,0,low,51,2,2,2,2,1369,63,7,0,3.8,2.4,4.2,2.5,2.0,2.0
IT,Senior Director,0,3,6,0.8,0.9,3,101,2,1,0,medium,1,3,4,4,4,5560,74,1,0,3.5,4.2,4.2,2.8,1.8,2.0
Sales,Senior Manager,1,3,6,0.5,0.68,4,254,3,0,0,low,29,1,2,2,1,3885,77,8,0,1.8,4.2,4.2,3.5,2.6,3.2
Warehouse,Level 1,1,3,6,0.8,0.97,3,115,2,1,0,low,10,2,3,2,2,4200,77,1,0,3.5,4.6,4.2,2.2,2.6,3.4
Operations,Level 2-4,1,3,6,0.8,0.8,5,248,4,0,0,medium,5,4,4,2,3,4271,79,8,0,3.5,4.2,4.2,3.5,3.4,1.8
Finance,Director,0,3,6,0.4,0.56,4,198,2,1,0,medium,25,1,2,1,1,2769,86,9,0,3.8,2.4,4.2,3.2,1.4,3.4
Sales,Senior Manager,0,3,6,0.8,0.92,5,197,5,0,0,low,1,4,3,2,2,5581,70,4,0,3.5,4.2,4.2,3.2,3.2,1.8
Human Resources,Level 2-4,1,3,6,0.4,0.5,2,132,3,0,0,low,25,2,2,2,1,1087,69,10,1,3.8,2.4,1.8,3.8,2.2,2.4
Human Resources,Level 1,1,3,6,0.4,0.57,2,127,3,0,0,low,9,2,2,2,1,1250,62,8,1,3.8,2.4,1.8,2.0,2.4,3.0
Operations,Manager,0,3,6,0.8,0.97,5,187,3,0,0,low,2,3,2,3,3,5967,80,1,0,3.5,4.6,4.2,3.2,2.8,2.2
Warehouse,Level 1,1,3,6,0.4,0.64,3,180,3,0,0,low,52,1,1,1,2,1727,90,9,0,1.8,4.2,4.2,3.0,2.8,3.4
Finance,Level 2-4,0,3,6,0.8,0.83,4,252,3,0,0,medium,8,2,3,3,4,4262,80,8,0,3.5,4.2,4.2,2.8,3.0,3.6
Sales,Senior Manager,1,3,6,0.8,0.83,3,153,2,0,0,medium,5,4,4,2,4,4023,70,6,0,3.5,4.2,4.2,3.0,2.6,4.4
Human Resources,Senior Manager,1,3,6,0.4,0.5,3,217,2,1,0,low,41,1,2,2,2,2249,77,6,0,3.8,2.4,4.2,3.5,2.2,2.6
Sales,Manager,1,3,6,0.8,0.85,4,225,2,0,0,high,4,2,4,2,2,4732,79,4,0,3.5,4.2,4.2,2.5,2.8,2.6
Finance,Level 2-4,0,3,6,0.4,0.55,3,264,2,0,0,medium,42,2,1,1,1,2900,78,6,0,3.8,2.4,4.2,3.8,2.0,2.6
Human Resources,Level 2-4,0,3,6,0.8,0.81,3,222,2,0,0,low,9,1,2,2,2,1321,89,1,1,3.5,4.2,1.8,4.2,2.2,2.8
Operations,Manager,1,3,6,0.8,0.85,4,249,6,0,0,low,9,1,1,1,1,1673,90,7,1,3.5,4.2,1.8,3.2,1.4,3.8
IT,Manager,1,3,6,0.4,0.55,3,217,4,1,0,medium,56,2,2,2,1,3188,75,8,0,3.8,2.4,4.2,2.0,2.4,3.0
Warehouse,Level 2-4,0,3,6,0.8,0.77,4,140,3,0,0,low,1,3,3,2,2,4453,80,4,0,3.5,4.2,4.2,3.5,2.8,2.6
Human Resources,Level 2-4,0,3,6,0.8,0.7,3,162,8,0,0,high,10,4,3,3,2,4842,75,3,0,3.5,4.2,4.2,3.0,3.2,3.2
Finance,Level 1,0,3,6,0.4,0.48,2,137,3,0,0,medium,15,2,1,1,2,8375,71,9,1,3.8,2.4,1.8,2.5,3.0,3.0
Human Resources,Level 2-4,0,3,6,0.4,0.54,4,182,6,0,0,medium,34,1,2,2,1,2732,90,6,0,3.8,2.4,4.2,2.8,3.0,2.4
Finance,Level 2-4,1,3,6,0.8,1.0,5,152,4,0,0,low,10,4,4,2,3,5913,75,7,0,3.5,4.6,4.2,3.0,2.6,4.2
IT,Level 1,1,3,6,0.4,0.6,4,252,3,0,0,low,16,2,2,1,1,2332,75,7,0,3.8,4.2,4.2,3.0,2.2,3.6
Warehouse,Level 2-4,1,3,6,0.8,0.8,5,223,3,0,0,low,6,2,4,3,2,5977,79,5,0,3.5,4.2,4.2,3.0,3.8,3.4
Warehouse,Level 2-4,1,3,6,0.8,0.75,4,257,3,0,0,low,1,4,2,2,3,5843,76,4,0,3.5,4.2,4.2,4.5,3.6,3.0
IT,Manager,0,3,6,0.8,0.87,4,184,4,0,0,medium,3,2,2,2,3,5430,77,9,0,3.5,4.2,4.2,3.2,3.8,2.8
Sales,Senior Manager,0,3,6,0.8,0.85,3,250,6,0,0,medium,9,2,2,4,2,5322,75,8,0,3.5,4.2,4.2,3.0,2.6,3.6
Warehouse,Manager,1,3,6,0.8,0.76,4,173,2,0,0,medium,5,2,3,3,2,4776,70,8,0,3.5,4.2,4.2,4.5,3.0,2.8
Finance,Manager,1,3,6,0.8,0.83,6,264,4,1,0,medium,6,2,2,2,2,1622,87,9,1,3.5,4.2,1.8,4.0,2.2,2.8
Finance,Manager,1,3,6,0.4,0.63,5,206,6,0,0,medium,23,2,2,1,2,2016,76,9,0,1.8,4.2,4.2,2.2,1.8,2.6
Human Resources,Level 2-4,1,3,6,0.8,0.74,3,265,3,0,0,medium,4,3,2,3,4,4268,75,6,0,3.5,4.2,4.2,2.5,2.6,2.4
Human Resources,Manager,0,3,6,0.8,0.99,6,178,5,0,0,low,5,3,2,2,2,4567,70,2,0,3.5,4.6,4.2,2.2,3.6,2.6
Human Resources,Level 2-4,1,3,6,0.4,0.53,4,152,3,0,0,low,17,1,1,1,2,1025,86,8,0,3.8,2.4,4.2,2.2,2.0,3.0
Human Resources,Level 2-4,1,3,6,0.5,0.69,6,273,4,1,0,medium,32,1,2,2,1,2532,76,8,0,1.8,4.2,4.2,2.5,1.6,2.0
IT,Level 2-4,0,3,6,0.8,1.0,4,216,6,0,0,low,9,1,2,2,2,1678,85,8,1,3.5,4.6,1.8,2.2,2.4,3.0
Warehouse,Level 2-4,1,3,6,0.8,0.81,4,209,4,0,0,medium,1,3,4,3,2,5057,77,5,0,3.5,4.2,4.2,2.0,3.6,2.4
Warehouse,Level 2-4,0,3,6,0.8,0.9,3,229,6,0,0,medium,3,3,2,2,2,5471,80,1,0,3.5,4.2,4.2,3.5,4.0,2.6
Warehouse,Level 2-4,0,3,6,0.4,0.53,5,272,5,0,0,low,54,2,1,2,2,2292,75,7,0,3.8,2.4,4.2,3.0,2.4,2.6
Human Resources,Manager,1,3,6,0.8,0.97,7,254,4,1,0,medium,6,2,2,1,1,1014,85,1,1,3.5,4.6,1.8,4.8,2.2,3.0
Warehouse,Level 1,0,3,6,0.8,0.87,2,268,4,1,0,low,5,2,2,2,3,4400,80,8,0,3.5,4.2,4.2,3.5,2.8,2.4
Human Resources,Manager,1,3,6,0.5,0.65,3,190,10,0,0,medium,32,1,1,1,1,2064,89,7,0,1.8,4.2,4.2,4.5,1.8,3.4
Sales,Level 1,0,3,6,0.8,0.73,3,252,3,0,0,high,4,4,3,3,2,4248,80,2,0,3.5,4.2,4.2,3.5,2.4,1.8
Finance,Senior Manager,0,3,6,0.8,0.89,3,194,3,0,0,medium,4,2,2,4,4,5383,79,8,0,3.5,4.2,4.2,3.0,3.8,2.6
Human Resources,Senior Manager,1,3,6,0.4,0.51,2,144,3,0,0,low,24,1,2,2,2,1079,67,8,1,3.8,2.4,1.8,2.2,1.6,4.2
Operations,Level 2-4,0,3,6,0.8,0.73,5,241,3,0,0,high,6,2,3,2,3,4157,78,4,0,3.5,4.2,4.2,3.0,3.4,3.4
Operations,Level 2-4,1,3,6,0.4,0.62,6,129,5,0,0,low,58,1,1,1,1,1463,89,8,0,1.8,4.2,4.2,3.8,2.8,3.2
Sales,Level 2-4,0,3,6,0.8,0.89,4,201,8,0,0,medium,4,2,4,3,3,4295,77,5,0,3.5,4.2,4.2,2.8,2.6,2.8
Warehouse,Manager,1,3,6,0.4,0.62,3,152,6,0,0,low,7,2,2,2,1,1674,74,6,0,1.8,4.2,4.2,3.2,2.6,2.0
Finance,Senior Manager,0,3,6,0.8,0.88,4,213,3,1,0,medium,7,4,2,3,3,5947,77,5,0,3.5,4.2,4.2,3.2,3.0,3.6
Warehouse,Manager,1,3,6,0.8,0.93,5,238,5,0,0,low,1,1,2,1,2,1871,89,9,1,3.5,4.2,1.8,2.2,1.6,3.4
Finance,Senior Manager,1,3,6,0.8,0.91,3,133,2,0,0,medium,8,3,2,3,4,4241,77,3,0,3.5,4.2,4.2,3.2,3.2,3.0
Operations,Level 2-4,0,3,6,0.8,0.78,7,286,4,0,0,low,3,2,2,1,1,1670,90,1,1,3.5,4.2,1.8,3.5,3.0,2.6
Sales,Level 1,0,3,6,0.8,0.89,5,261,5,0,0,medium,9,3,3,4,4,5385,77,3,0,3.5,4.2,4.2,3.8,3.6,3.2
Sales,Level 2-4,1,3,6,0.4,0.53,2,149,3,0,0,low,6,2,2,1,1,1312,68,10,1,3.8,2.4,1.8,3.2,2.0,3.6
Finance,Level 2-4,0,3,6,0.5,0.7,3,210,2,0,0,medium,29,1,1,2,2,3142,76,8,0,1.8,4.2,4.2,3.5,2.8,2.4
Human Resources,Director,0,3,6,0.4,0.62,2,257,6,1,0,low,5,1,2,2,1,3986,79,6,0,1.8,4.2,4.2,2.8,2.2,1.8
Sales,Level 2-4,0,3,6,0.8,0.98,4,242,6,0,0,low,9,1,1,2,2,1858,89,5,1,3.5,4.6,1.8,3.8,2.8,1.8
Operations,Senior Director,1,3,6,0.4,0.48,2,139,3,0,0,low,45,2,1,2,1,1918,62,7,1,3.8,2.4,1.8,2.0,3.0,2.6
Human Resources,Level 2-4,0,3,6,0.8,0.88,5,269,5,0,0,low,6,2,1,1,2,1630,86,5,1,3.5,4.2,1.8,3.8,2.4,2.8
IT,Level 2-4,1,3,6,0.8,0.78,5,285,4,1,0,medium,10,2,1,2,2,1428,89,3,1,3.5,4.2,1.8,3.5,2.6,2.4
Sales,Director,0,3,6,0.5,0.66,5,165,3,0,0,low,37,1,1,2,1,1228,86,10,0,1.8,4.2,4.2,1.8,3.2,2.8
Human Resources,Senior Director,1,3,6,0.4,0.6,5,208,3,0,0,medium,8,1,2,2,1,3442,77,9,0,3.8,4.2,4.2,3.2,2.0,2.4
IT,Level 2-4,0,3,6,0.8,0.7,4,223,3,0,0,low,7,2,2,3,3,4026,79,7,0,3.5,4.2,4.2,2.2,1.8,2.6
Sales,Level 2-4,1,3,6,0.4,0.54,5,132,5,0,0,low,25,2,2,2,1,1307,86,10,1,3.8,2.4,1.8,2.2,2.6,2.4
Warehouse,Level 1,1,3,6,0.5,0.68,3,160,3,0,0,low,57,1,1,1,1,1833,61,6,0,1.8,4.2,4.2,2.0,1.8,2.6
Finance,Manager,0,3,6,0.4,0.56,4,251,4,0,0,medium,37,2,1,1,1,3685,79,7,0,3.8,2.4,4.2,3.0,2.6,2.8
Operations,Level 1,1,3,6,0.8,0.94,3,217,3,0,0,medium,10,4,4,2,4,5439,80,3,0,3.5,4.2,4.2,3.8,3.8,3.0
IT,Level 2-4,1,3,6,0.4,0.49,2,143,3,0,0,medium,57,1,1,2,1,6371,65,6,1,3.8,2.4,1.8,3.0,2.2,3.6
Sales,Level 2-4,1,3,6,0.4,0.64,3,191,3,1,0,low,5,2,2,2,1,2007,89,9,0,1.8,4.2,4.2,1.5,2.0,2.8
Finance,Senior Manager,0,3,6,0.8,0.97,3,148,3,0,0,low,4,3,3,2,2,5919,76,2,0,3.5,4.6,4.2,2.8,3.0,3.4
Finance,Manager,1,3,6,0.4,0.52,2,160,3,0,0,low,61,1,1,1,2,1504,61,7,1,3.8,2.4,1.8,1.8,2.6,3.2
Sales,Level 2-4,0,3,6,0.8,0.85,4,207,10,0,0,low,1,3,4,2,3,4602,79,4,0,3.5,4.2,4.2,2.5,2.8,2.8
Human Resources,Level 2-4,1,3,6,0.8,0.94,4,174,3,0,0,medium,2,3,2,4,4,4069,77,6,0,3.5,4.2,4.2,2.8,3.0,3.6
IT,Level 2-4,0,3,6,0.4,0.49,4,217,2,0,0,medium,35,2,1,1,1,2105,80,9,0,3.8,2.4,4.2,1.5,2.4,3.4
IT,Level 2-4,0,3,6,0.8,0.93,3,150,10,0,0,low,6,3,2,2,2,5580,76,1,0,3.5,4.2,4.2,1.2,4.2,2.6
Sales,Level 2-4,0,3,6,0.8,0.84,4,240,5,0,0,medium,7,2,1,2,1,1711,86,6,1,3.5,4.2,1.8,3.0,2.6,2.4
Warehouse,Level 2-4,0,3,6,0.8,0.73,4,188,5,0,0,low,1,4,2,2,3,5999,72,9,0,3.5,4.2,4.2,4.5,3.4,1.8
Sales,Manager,1,3,6,0.8,0.92,5,232,5,0,0,low,1,1,1,1,2,1835,85,7,1,3.5,4.2,1.8,3.0,1.8,1.6
IT,Level 2-4,0,3,6,0.4,0.61,4,97,2,0,0,low,26,1,1,1,2,1598,85,10,0,3.8,4.2,4.2,3.2,1.6,2.2
Warehouse,Senior Director,1,3,6,0.8,0.95,5,266,5,0,0,medium,8,1,1,2,2,1367,89,3,1,3.5,4.2,1.8,4.0,2.2,1.6
Operations,Level 1,1,3,6,0.4,0.5,2,127,3,0,0,low,35,2,1,1,2,1388,66,10,1,3.8,2.4,1.8,4.0,2.0,3.0
Operations,Manager,1,3,6,0.8,0.9,3,186,2,0,0,low,4,4,2,3,3,4585,71,1,0,3.5,4.2,4.2,3.8,2.6,2.4
IT,Level 1,0,3,6,0.8,0.96,3,248,3,0,0,medium,7,3,4,4,4,5299,80,2,0,3.5,4.6,4.2,2.8,3.2,3.0
Sales,Level 2-4,1,3,6,0.4,0.46,2,159,3,0,0,medium,54,2,1,1,1,6214,62,7,1,3.8,2.4,1.8,3.0,2.4,2.6
Operations,Level 2-4,0,3,6,0.8,0.82,6,269,4,0,0,low,5,2,2,1,1,1264,85,6,1,3.5,4.2,1.8,4.5,2.4,3.0
IT,Senior Director,0,3,6,0.8,0.84,5,168,2,0,0,low,10,3,3,2,2,5225,80,7,0,3.5,4.2,4.2,2.5,3.2,3.0
Finance,Senior Manager,1,3,6,0.8,0.87,5,257,3,0,0,medium,3,2,3,3,4,4895,79,9,0,3.5,4.2,4.2,3.5,3.0,2.0
Human Resources,Level 1,0,3,6,0.4,0.55,2,148,3,0,0,low,50,1,1,1,2,1822,64,8,1,3.8,2.4,1.8,2.5,1.8,3.6
Sales,Level 1,1,3,6,0.8,0.97,5,233,3,1,0,low,6,2,2,3,3,5560,78,3,0,3.5,4.6,4.2,1.8,3.2,3.4
IT,Level 2-4,0,3,6,0.4,0.5,4,259,3,0,0,low,57,1,1,1,2,3490,77,7,0,3.8,2.4,4.2,2.0,1.8,3.2
Warehouse,Level 2-4,0,3,6,0.4,0.51,3,190,4,0,0,low,26,2,1,1,1,2886,90,10,0,3.8,2.4,4.2,1.5,3.0,3.0
Operations,Director,1,3,6,0.4,0.49,4,151,3,0,0,medium,58,2,1,1,1,1531,89,7,0,3.8,2.4,4.2,3.5,3.0,3.8
Operations,Level 2-4,0,3,6,0.4,0.51,2,136,3,0,0,medium,41,1,1,2,2,8231,68,9,1,3.8,2.4,1.8,3.2,1.8,3.4
IT,Level 2-4,0,3,6,0.8,0.71,3,154,2,0,0,medium,5,2,3,2,4,5735,71,7,0,3.5,4.2,4.2,3.2,2.2,2.4
