Department,Role,Will_Relocate,Trending Perf,Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_OnPrem_2,EMP_Sat_OnPrem_3,EMP_Sat_OnPrem_5,EMP_Sat_Remote_1,EMP_Sat_Remote_2,EMP_Sat_Remote_3,EMP_Sat_Remote_4,EMP_Sat_Remote_5,EMP_Engagement_1,EMP_Engagement_2,EMP_Engagement_3,EMP_Engagement_4,EMP_Engagement_5,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,LinkedIn_Hits,Emp_Work_Status2,Emp_Work_Status_3,Emp_Work_Status_4,Emp_Work_Status_5,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Emp_Competitive_1,Emp_Competitive_2,Emp_Competitive_3,Emp_Competitive_4,Emp_Competitive_5,Emp_Collaborative_1,Emp_Collaborative_2,Emp_Collaborative_3,Emp_Collaborative_4,Emp_Collaborative_5,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company
Sales,Senior Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,4,244,3,0,0,high,18,4,2,2,1,1,2,2,1,2,1,2,5,2,5,2,1,1,4,3151,75,7,0
Finance,Senior Director,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.79,3,242,2,0,0,low,6,5,4,5,4,4,2,3,2,4,3,2,1,2,4,5,5,2,3,5635,76,3,0
Sales,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.75,2,271,6,0,0,low,2,1,1,2,2,4,2,3,2,3,4,2,3,5,1,2,1,2,2,4237,80,8,0
Human Resources,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.72,5,245,3,1,0,low,6,1,3,1,5,3,3,3,2,2,2,3,2,5,3,2,2,2,2,4343,76,7,0
IT,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.71,3,152,4,1,0,medium,7,2,2,2,2,3,2,3,4,4,5,3,2,4,2,2,3,2,1,5943,70,9,0
Sales,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.58,5,199,4,0,0,low,59,2,2,1,5,1,2,2,2,2,3,1,5,1,4,2,3,3,2,2885,87,10,0
Operations,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.82,6,250,4,0,0,low,10,1,3,4,4,1,2,1,1,3,5,3,2,2,1,1,3,5,1,1623,85,6,1
Operations,Senior Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.71,3,211,2,0,0,low,6,4,2,5,5,3,2,2,2,2,4,2,2,5,5,5,3,3,2,6000,78,3,0
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,0.97,5,235,5,0,0,low,8,5,4,4,5,1,1,2,1,1,1,1,3,4,5,2,3,2,4,1332,87,8,1
IT,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.93,4,246,5,0,0,medium,10,3,4,3,4,2,2,2,2,2,2,1,4,1,1,2,3,4,5,1646,90,8,1
Human Resources,Director,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.77,3,190,4,0,0,medium,7,4,5,2,2,4,2,3,4,3,2,3,5,2,5,2,2,1,5,5963,80,8,0
Operations,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.9,4,226,5,0,0,medium,6,1,4,1,3,2,1,1,1,2,5,1,4,1,4,5,5,4,2,1510,87,7,1
Warehouse,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.78,3,197,2,0,0,low,3,4,5,2,4,4,3,2,2,3,1,3,5,3,4,2,3,4,4,4865,70,1,0
Finance,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.5,6,264,6,0,0,low,60,1,1,5,3,1,2,2,1,1,5,2,2,3,4,1,2,4,2,2494,76,7,0
IT,Senior Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.98,5,200,3,0,0,medium,3,4,3,3,5,3,4,4,4,2,2,2,1,4,3,2,1,3,2,4225,90,3,0
Finance,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.84,3,176,3,0,0,low,1,3,5,4,3,3,4,3,3,4,2,4,3,5,3,2,3,3,5,5168,74,2,0
Sales,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.87,5,242,5,0,0,medium,1,4,5,5,4,2,2,1,2,2,3,2,5,1,3,5,4,3,1,1824,85,7,1
Finance,Senior Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.76,3,190,3,1,0,medium,2,3,3,4,5,2,4,3,2,4,2,3,2,2,5,2,2,4,1,4468,74,9,0
Warehouse,VP,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.48,2,155,3,0,0,medium,61,2,4,1,1,2,1,1,2,1,2,2,2,2,4,2,5,5,4,6662,60,9,1
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,0.96,5,275,5,0,0,low,6,1,2,3,3,2,1,1,1,1,4,1,1,4,5,2,1,3,3,1156,89,8,1
IT,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.54,2,153,3,0,0,medium,56,4,3,1,3,1,1,1,1,1,2,2,2,2,4,2,5,1,5,6768,63,7,1
Finance,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.53,4,214,2,0,0,low,15,1,2,1,4,2,2,2,2,2,3,2,5,3,4,1,1,5,1,3073,78,7,0
Warehouse,Senior Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.96,3,179,2,0,0,low,5,4,3,3,1,2,3,3,2,2,4,3,3,3,1,1,3,3,4,4882,70,8,0
IT,Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,3,198,3,0,0,medium,1,5,3,4,1,1,2,1,1,2,4,2,1,5,2,1,4,4,2,3667,87,10,0
Finance,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.93,6,271,4,0,0,medium,3,2,2,2,2,2,2,1,2,2,3,2,5,4,3,2,5,3,1,1636,90,3,1
Operations,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.58,3,224,2,0,0,medium,15,4,1,3,1,1,1,1,1,2,4,2,1,5,4,1,5,5,4,2701,77,6,0
Warehouse,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.99,4,263,2,0,0,low,9,3,1,2,3,2,2,3,3,3,2,2,1,2,1,1,1,2,1,4210,75,5,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.75,3,218,4,0,0,medium,8,3,1,1,4,2,1,1,1,1,5,1,3,3,3,2,1,4,4,1883,90,2,1
Human Resources,Senior Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.57,2,159,3,1,0,low,62,4,3,5,5,2,1,1,1,1,2,2,1,1,5,2,2,1,4,1346,62,9,1
Sales,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.9,6,254,4,0,0,low,9,4,4,4,1,1,2,2,2,2,3,1,1,5,2,1,1,3,3,1594,86,1,1
Human Resources,Senior Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,3,144,3,0,0,low,50,4,5,2,5,1,1,2,1,1,4,1,2,3,2,2,3,5,4,1865,65,6,0
Finance,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.82,3,199,5,0,0,medium,10,3,1,4,5,2,3,4,2,3,4,4,3,5,3,1,5,3,3,4847,75,9,0
Finance,Manager,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.66,3,134,3,0,0,low,20,2,2,4,2,2,1,2,1,1,1,2,4,5,1,1,1,3,1,1391,74,8,0
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.88,5,245,4,0,0,low,1,3,4,4,5,3,3,2,3,2,5,3,4,1,4,5,1,3,4,5743,78,4,0
Sales,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.59,3,235,3,0,0,low,5,3,4,3,1,1,2,1,2,2,1,1,1,4,5,2,4,4,3,3065,77,9,0
IT,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.5,4,198,3,1,0,low,61,4,5,1,5,2,1,2,1,1,4,2,5,4,4,1,1,2,1,3449,90,8,0
Sales,Director,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.8,4,252,6,0,0,medium,2,2,4,3,2,2,4,3,2,3,3,2,5,2,2,2,4,4,5,5476,76,4,0
Finance,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.41,4,250,4,0,0,low,35,1,4,2,2,2,2,2,2,1,3,2,1,4,4,1,1,1,2,2538,77,6,0
Operations,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.51,5,149,3,0,0,medium,51,4,2,3,3,1,2,2,2,2,1,1,5,1,4,2,5,1,3,1187,86,6,0
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.93,3,209,3,0,0,medium,5,3,3,2,2,2,3,4,3,3,2,2,1,2,1,2,1,4,4,5831,80,5,0
Operations,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.8,4,263,4,0,0,low,9,1,1,4,2,2,3,2,3,4,1,3,4,3,3,2,5,5,2,4390,78,4,0
Sales,Manager,0,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.68,4,273,5,1,0,medium,6,2,3,5,5,1,1,1,2,1,5,2,4,4,2,2,1,1,5,2126,78,7,0
Human Resources,Level 2-4,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.69,6,192,3,0,0,high,19,4,1,3,1,1,2,2,1,1,5,2,1,1,5,2,3,4,1,2944,88,8,0
IT,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.74,4,180,3,0,0,high,5,1,4,2,2,3,3,3,3,4,4,3,4,5,1,2,2,3,2,4346,70,1,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.88,6,284,4,0,0,low,9,4,1,1,5,2,1,1,1,1,1,1,4,2,1,2,3,1,5,1845,90,8,1
IT,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.87,5,171,2,0,0,low,9,1,4,5,2,2,3,2,3,4,3,3,5,1,2,1,4,5,2,5252,72,4,0
Warehouse,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,1.0,3,212,2,0,0,low,7,4,4,2,1,4,2,3,3,4,3,2,5,3,1,2,2,2,3,4742,79,5,0
IT,Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,3,250,3,0,0,low,3,4,2,2,4,2,1,2,1,1,5,2,1,5,2,2,5,2,4,2371,77,7,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.95,3,150,2,0,0,low,6,1,5,1,2,2,2,3,3,3,1,4,5,1,1,1,3,4,5,5697,73,2,0
Human Resources,Senior Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.91,3,160,2,0,0,high,4,2,4,2,1,2,2,3,3,4,4,2,4,1,5,2,3,3,1,4376,79,5,0
Sales,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.89,4,241,5,0,0,low,4,1,5,1,4,2,2,1,2,1,2,2,5,4,2,1,2,3,4,1145,87,3,1
Sales,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,4,235,4,0,0,medium,4,1,4,5,2,2,2,1,2,1,1,2,1,1,4,2,5,5,4,2068,75,8,0
Warehouse,Manager,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.8,4,196,5,0,0,low,6,4,2,1,5,3,2,3,3,3,3,2,2,2,1,1,5,5,2,4258,72,1,0
Sales,Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.51,4,110,3,0,0,low,51,5,2,1,2,2,1,1,2,2,5,2,4,2,4,2,1,5,4,1043,86,9,0
Human Resources,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.53,4,257,2,0,0,high,47,5,3,3,2,2,1,1,1,1,5,2,3,4,1,2,4,4,1,3547,80,9,0
Operations,Level 1,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.97,4,199,3,0,0,low,7,2,2,3,2,2,3,3,3,2,2,3,5,3,2,1,2,4,4,5342,76,2,0
Human Resources,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.56,2,133,3,0,0,medium,52,3,1,1,5,1,2,1,1,1,2,2,5,4,2,1,3,4,5,7692,74,9,1
Finance,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.51,2,160,3,1,1,low,47,2,1,4,5,5,2,1,1,1,4,2,1,5,1,2,1,3,1,1433,75,6,1
Human Resources,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.56,2,147,3,0,0,medium,49,5,3,2,2,1,1,2,2,2,2,1,4,4,3,2,3,5,2,6035,67,7,1
Operations,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.53,2,286,3,0,0,medium,49,3,3,5,2,2,2,2,2,1,4,2,5,2,1,1,5,3,4,2407,75,7,0
Human Resources,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.48,5,114,3,0,0,low,21,2,3,5,3,2,2,2,1,2,4,1,4,2,3,1,3,3,4,1372,88,10,0
IT,Director,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.44,2,130,3,0,0,low,56,4,4,2,3,1,1,2,2,1,4,2,5,2,1,1,4,4,3,1406,70,8,0
Sales,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.86,4,137,2,1,0,high,6,5,2,4,4,3,4,3,3,4,5,2,2,3,2,2,4,5,3,5208,80,2,0
Operations,Senior Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,1,2,3,2,1,1.0,2,155,5,0,0,low,9,4,5,2,4,1,1,1,1,2,2,1,5,5,2,1,4,1,5,1740,85,7,1
Sales,Senior Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.59,4,228,3,0,0,medium,12,4,3,4,4,2,2,2,1,2,1,2,1,2,4,1,3,3,4,3359,75,10,0
Finance,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.92,3,188,4,0,0,medium,3,5,3,1,5,4,3,2,4,2,2,3,2,2,5,1,2,1,5,4033,70,5,0
Human Resources,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.73,4,276,2,0,0,medium,3,1,4,4,4,2,2,1,2,2,2,2,3,5,1,2,5,3,3,1966,88,3,1
Operations,Senior Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.5,3,196,3,1,0,medium,46,3,2,5,4,2,1,1,1,2,3,2,5,1,2,2,1,3,1,3476,89,6,0
Finance,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.71,6,266,5,0,0,low,10,5,2,2,3,4,2,2,2,2,4,3,1,1,2,2,4,3,4,4140,77,3,0
IT,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.88,5,140,3,0,0,high,7,5,1,3,5,4,4,3,3,3,3,4,5,3,3,1,1,5,1,4799,73,6,0
Human Resources,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.55,4,233,2,0,0,medium,45,4,5,3,3,1,2,1,2,2,2,2,5,4,4,5,4,4,5,2370,76,9,0
Operations,Director,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,3,254,2,0,0,low,5,4,5,3,1,2,1,2,2,1,3,2,4,1,1,1,5,1,1,2962,80,7,0
Sales,Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.37,3,181,2,0,0,low,29,4,5,1,3,1,2,1,1,2,5,2,5,5,3,1,2,2,3,2925,86,8,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.82,4,171,2,0,0,medium,1,1,4,1,3,2,2,2,2,4,1,4,1,3,2,2,5,1,5,5635,70,1,0
IT,Level 1,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.39,4,239,4,0,0,low,13,4,1,5,5,1,1,1,2,2,2,1,5,2,3,2,4,1,4,2415,78,6,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,1.0,3,148,4,0,0,low,2,3,5,2,5,2,2,2,3,3,3,3,2,3,5,1,5,4,5,5557,74,1,0
Finance,Director,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.45,2,126,3,0,0,medium,29,4,4,1,5,1,2,2,2,1,5,1,2,5,2,2,1,5,1,8377,62,7,1
Finance,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.88,7,272,4,0,0,medium,2,3,3,4,1,1,2,2,1,2,5,4,3,5,3,5,2,1,1,1754,89,5,1
Finance,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.92,3,251,3,1,0,medium,5,4,2,4,1,4,2,4,3,2,2,2,5,4,5,4,2,5,1,5608,77,6,0
Sales,Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.58,3,151,2,0,0,low,60,1,1,5,2,2,1,2,1,2,3,2,1,2,2,2,5,1,4,1925,67,7,0
Warehouse,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.99,4,214,6,1,0,medium,9,2,4,3,5,4,3,4,2,2,1,3,5,4,1,1,3,1,1,4736,78,9,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.88,3,261,4,0,0,medium,4,3,2,5,4,3,4,4,2,4,3,3,1,5,3,1,3,2,5,4307,77,7,0
Human Resources,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,3,5,4,4,5,5,5,4,4,3,0.61,4,223,3,0,0,medium,63,5,5,2,1,1,1,1,1,1,1,2,4,3,3,1,3,5,3,2427,75,10,0
Warehouse,Senior Manager,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.46,2,160,3,0,1,low,30,5,3,1,3,4,1,1,2,1,5,2,3,2,4,1,5,5,1,1870,67,10,1
Sales,Director,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.82,3,178,3,0,0,low,5,2,3,3,4,4,4,3,3,3,5,3,5,2,3,2,4,1,5,5686,71,2,0
Sales,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.55,2,136,3,0,0,low,6,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,4,4,1,1617,71,8,1
Sales,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.52,2,159,3,0,0,low,51,4,1,1,3,2,2,2,2,2,1,2,3,1,5,2,5,1,3,1372,66,10,1
Human Resources,Manager,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.63,3,153,2,0,0,low,39,3,2,1,2,2,1,1,2,1,1,2,1,5,3,1,5,2,4,1328,74,9,0
Human Resources,Level 1,1,3,6,0.5,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.69,3,250,3,0,0,low,8,1,3,4,5,2,2,2,1,1,5,2,1,4,3,1,1,3,3,3617,80,9,0
Warehouse,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.98,2,232,6,1,0,low,2,1,3,3,2,4,4,3,2,3,2,2,4,2,2,2,3,5,4,5281,77,8,0
IT,Senior Director,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.96,3,212,3,0,0,low,6,4,5,2,3,3,3,3,3,2,5,2,3,2,1,4,4,1,2,5935,77,7,0
Warehouse,Level 2-4,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.5,4,159,2,0,1,medium,51,3,4,4,4,4,5,2,2,1,2,1,5,3,1,1,1,4,5,1791,89,6,0
Warehouse,Senior Director,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.59,5,146,4,0,0,low,5,3,5,2,4,1,2,1,2,1,3,2,1,4,1,2,2,1,5,1718,85,9,0
IT,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.96,5,210,6,1,0,low,3,5,1,5,2,2,4,2,2,2,5,3,4,4,3,5,5,2,3,5051,80,3,0
Sales,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,5,5,4,5,4,5,5,4,4,3,0.98,3,206,2,0,0,low,3,5,2,3,4,4,2,3,2,3,4,3,1,5,4,1,4,1,3,5113,78,7,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.79,3,284,10,0,0,low,5,4,4,1,2,3,4,2,2,2,4,4,1,5,2,1,4,5,3,5479,76,5,0
Warehouse,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.49,2,146,3,0,0,low,48,1,5,5,2,2,2,1,2,1,1,2,3,4,4,2,4,2,3,1262,67,7,1
IT,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,1,2,3,2,1,0.54,2,152,3,0,0,low,38,5,5,3,2,1,1,1,1,2,5,2,2,5,5,2,2,4,3,1495,61,10,1
IT,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.93,5,137,2,1,0,low,7,4,3,2,5,4,4,2,3,3,1,4,5,5,1,1,2,5,2,5338,77,6,0
Human Resources,Manager,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.79,7,306,4,0,0,medium,4,3,2,4,1,2,2,2,1,2,3,4,1,2,4,2,5,4,2,1739,89,9,1
Warehouse,Level 2-4,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.63,3,212,2,1,0,medium,56,4,4,3,4,2,2,1,1,2,4,1,5,3,4,1,2,2,5,3976,76,7,0
Sales,Level 1,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.57,5,255,4,0,0,medium,38,4,5,1,4,2,1,1,2,1,5,2,1,2,5,2,5,4,5,2771,77,8,0
Human Resources,Level 2-4,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.73,4,273,2,0,0,low,9,4,4,4,2,2,4,2,2,2,4,3,1,2,5,1,3,2,2,5151,78,3,0
Sales,Level 1,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.94,4,145,3,0,0,medium,7,2,1,1,2,3,4,4,3,4,1,2,5,5,1,2,1,3,3,5823,77,3,0
Operations,Level 2-4,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,3,166,2,0,0,medium,42,1,3,3,3,2,2,1,1,1,5,2,2,5,5,1,2,5,5,1816,64,7,0
IT,Director,1,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.58,4,259,3,0,0,low,20,1,4,1,2,2,1,1,2,2,3,2,5,2,3,1,2,2,4,2154,79,7,0
Sales,Senior Director,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.53,4,177,2,0,0,low,35,2,1,3,4,2,2,1,2,2,3,2,4,1,1,1,3,5,5,1965,86,7,0
Finance,Director,0,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,1,2,3,2,1,0.91,5,236,5,0,0,medium,10,3,1,4,5,2,1,2,1,1,5,1,3,5,1,1,1,1,4,1630,87,2,1
Sales,Manager,0,3,6,0.4,3.0,3.0,4.0,5.0,2,3,2,3,2,5,5,4,4,3,0.54,3,283,6,0,0,medium,55,3,1,3,2,1,2,1,1,1,2,2,2,3,5,2,3,2,5,3912,76,8,0
Sales,Level 1,1,3,6,0.4,3.0,1.0,2.0,1.0,3,5,4,4,5,5,5,4,4,3,0.63,3,250,4,0,0,low,11,5,2,4,4,1,2,2,2,2,4,2,1,3,1,2,5,3,3,3464,78,7,0
Human Resources,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.71,5,141,3,0,0,low,9,3,4,2,4,3,4,2,2,4,5,3,4,5,1,4,5,1,1,4857,71,2,0
Warehouse,Level 2-4,1,3,6,0.8,3.0,3.0,4.0,4.0,3,5,4,4,5,5,5,4,4,3,0.89,3,188,6,0,0,medium,1,2,1,2,2,2,2,3,3,2,1,4,2,3,1,2,1,3,4,4856,77,4,0
